Wavelength,Power,DC Blue,DC Green,DC Red,DC Red edge,DC NIR,12 Bit Blue,12 Bit Green,12 Bit Red,12 Bit Red edge,12 Bit NIR,Norm Blue,Norm Green,Norm Red,Norm Red edge,Norm NIR,Peak Blue,Peak Green,Peak Red,Peak Red edge,Peak NIR
380,-1.18E-08,3.37E+00,2.88E+00,1.12E+00,7.90E-01,1.20E+00,0.210625,0.180010199,0.070007955,0.049366536,0.075010192,-1.79E+07,-1.53E+07,-5.95E+06,-4.20E+06,-6.38E+06,-0.005537037,-4.56E-03,-0.001248272,-6.47E-04,-0.003679212
390,-6.23E-09,3.31E+00,2.28E+00,1.93E+00,4.54E+00,1.34E+00,0.206875,0.142784294,0.120922832,0.283966798,0.083978801,-3.32E+07,-2.29E+07,-1.94E+07,-4.56E+07,-1.35E+07,-0.01026953,-6.83E-03,-0.004071415,-7.03E-03,-0.007778204
400,2.94E-08,3.19E+00,2.97E+00,1.76E+00,0.00E+00,2.61E+00,0.199375,0.185619582,0.109785203,0,0.163065634,6.79E+06,6.32E+06,3.74E+06,0.00E+00,5.55E+06,0.002098332,1.88E-03,0.000783686,0.00E+00,0.003202087
410,5.53E-08,0.00E+00,1.11E+00,7.00E-01,3.97E+00,5.74E-01,0,0.069352371,0.043754972,0.248143294,0.035874439,0.00E+00,1.25E+06,7.91E+05,4.49E+06,6.49E+05,0,3.74E-04,0.000165967,6.92E-04,0.000374327
420,7.02E-08,6.22E+00,2.70E+00,7.17E+00,9.11E+00,5.02E-01,0.38875,0.168791433,0.447891806,0.569681083,0.031390135,5.54E+06,2.40E+06,6.38E+06,8.11E+06,4.47E+05,0.001711868,7.16E-04,0.001337727,1.25E-03,0.000257905
430,8.13E-08,3.97E+00,2.64E+00,5.98E-01,6.56E+00,0.00E+00,0.248125,0.164711882,0.037390613,0.409785933,0,3.05E+06,2.02E+06,4.60E+05,5.04E+06,0.00E+00,0.000943053,6.03E-04,9.64E-05,7.77E-04,0
440,9.42E-08,8.79E+00,2.13E+00,8.27E-01,7.01E+00,1.87E+00,0.549375,0.13309536,0.051710422,0.438182612,0.116591928,5.83E+06,1.41E+06,5.49E+05,4.65E+06,1.24E+06,0.001802244,4.21E-04,0.000115058,7.17E-04,0.000713642
450,1.04E-07,6.93E+00,0.00E+00,0.00E+00,5.62E+00,6.33E-01,0.433125,0,0,0.351245085,0.039543416,4.16E+06,0.00E+00,0.00E+00,3.37E+06,3.79E+05,0.001284822,0.00E+00,0,5.20E-04,0.000218862
460,1.14E-07,7.27E+02,4.42E+00,1.78E+00,3.72E+00,2.07E+00,45.4375,0.276389597,0.111376293,0.232415902,0.129637179,3.99E+08,2.42E+06,9.77E+05,2.04E+06,1.14E+06,0.123241272,7.22E-04,0.000204894,3.14E-04,0.000656052
470,1.22E-07,6.32E+03,1.42E+00,7.36E+00,1.74E+00,3.79E+00,395,0.08873024,0.45982498,0.108781127,0.236852833,3.23E+09,7.27E+05,3.77E+06,8.91E+05,1.94E+06,1,2.16E-04,0.000789569,1.37E-04,0.00111879
