Wavelength,Power,DC Blue,DC Green,DC Red,DC Red edge,DC NIR,Norm Blue,Norm Green,Norm Red,Norm Red edge,Norm NIR
380,2.00E-07,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
390,8.92E-07,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
400,3.97E-06,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
410,6.40E-06,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
420,7.89E-06,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
430,8.89E-06,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
440,1.01E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
450,1.12E-05,2.57E-05,0,2.73E-05,0,0,2.30E+00,0.00E+00,2.43E+00,0.00E+00,0.00E+00
460,1.21E-05,7.72E-05,1.88E-05,2.72E-05,0,0,6.38E+00,1.55E+00,2.25E+00,0.00E+00,0.00E+00
470,1.30E-05,0.000102954,1.88E-05,2.72E-05,0,0,7.92E+00,1.44E+00,2.10E+00,0.00E+00,0.00E+00
480,1.44E-05,5.15E-05,0,0,0,0,3.57E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
490,1.54E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
500,1.63E-05,0,0,2.72E-05,0,0,0.00E+00,0.00E+00,1.67E+00,0.00E+00,0.00E+00
510,1.69E-05,0,1.88E-05,2.72E-05,0,0,0.00E+00,1.11E+00,1.61E+00,0.00E+00,0.00E+00
520,1.78E-05,0,3.75E-05,2.72E-05,0,0,0.00E+00,2.11E+00,1.53E+00,0.00E+00,0.00E+00
530,1.87E-05,0,0.000112526,2.72E-05,0,0,0.00E+00,6.02E+00,1.46E+00,0.00E+00,0.00E+00
540,1.93E-05,0,0.000375079,2.72E-05,0,0,0.00E+00,1.94E+01,1.41E+00,0.00E+00,0.00E+00
550,2.00E-05,0,0.000431337,0,0,0,0.00E+00,2.16E+01,0.00E+00,0.00E+00,0.00E+00
560,2.06E-05,0,0.000131272,2.72E-05,0,0,0.00E+00,6.37E+00,1.32E+00,0.00E+00,0.00E+00
570,2.11E-05,0,0,2.72E-05,0,0,0.00E+00,0.00E+00,1.29E+00,0.00E+00,0.00E+00
580,2.12E-05,0,0,2.72E-05,0,0,0.00E+00,0.00E+00,1.29E+00,0.00E+00,0.00E+00
590,2.14E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
600,2.14E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
610,2.14E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
620,2.23E-05,0,0,2.72E-05,0,0,0.00E+00,0.00E+00,1.22E+00,0.00E+00,0.00E+00
630,2.33E-05,0,0,5.45E-05,0,0,0.00E+00,0.00E+00,2.34E+00,0.00E+00,0.00E+00
640,2.31E-05,0,0,8.17E-05,2.69E-05,0,0.00E+00,0.00E+00,3.54E+00,1.17E+00,0.00E+00
650,2.30E-05,0,0,0.000326873,2.69E-05,0,0.00E+00,0.00E+00,1.42E+01,1.17E+00,0.00E+00
660,2.24E-05,0,0,0.000980623,2.69E-05,0,0.00E+00,0.00E+00,4.38E+01,1.20E+00,0.00E+00
670,2.14E-05,0,0,0.000272385,5.38E-05,0,0.00E+00,0.00E+00,1.27E+01,2.52E+00,0.00E+00
680,2.12E-05,0,0,0,8.07E-05,0,0.00E+00,0.00E+00,0.00E+00,3.81E+00,0.00E+00
690,2.16E-05,0,0,0,0.000107663,0,0.00E+00,0.00E+00,0.00E+00,4.98E+00,0.00E+00
700,2.56E-05,0,0,0,0.000430624,0,0.00E+00,0.00E+00,0.00E+00,1.68E+01,0.00E+00
710,2.77E-05,0,0,0,0.001184183,0,0.00E+00,0.00E+00,0.00E+00,4.28E+01,0.00E+00
720,2.85E-05,0,0,0,0.000349858,0,0.00E+00,0.00E+00,0.00E+00,1.23E+01,0.00E+00
730,2.95E-05,0,0,0,2.69E-05,0,0.00E+00,0.00E+00,0.00E+00,9.12E-01,0.00E+00
740,3.06E-05,0,0,0,2.69E-05,0,0.00E+00,0.00E+00,0.00E+00,8.79E-01,0.00E+00
750,3.21E-05,0,0,0,2.69E-05,0,0.00E+00,0.00E+00,0.00E+00,8.38E-01,0.00E+00
760,3.26E-05,0,0,0,2.69E-05,0,0.00E+00,0.00E+00,0.00E+00,8.25E-01,0.00E+00
770,3.43E-05,0,0,2.72E-05,2.69E-05,0,0.00E+00,0.00E+00,7.94E-01,7.85E-01,0.00E+00
780,3.51E-05,0,0,2.72E-05,2.69E-05,9.50E-06,0.00E+00,0.00E+00,7.76E-01,7.67E-01,2.71E-01
790,3.59E-05,0,0,2.72E-05,2.69E-05,9.50E-06,0.00E+00,0.00E+00,7.59E-01,7.50E-01,2.65E-01
800,3.68E-05,0,0,0,2.69E-05,2.85E-05,0.00E+00,0.00E+00,0.00E+00,7.31E-01,7.75E-01
810,3.68E-05,0,0,0,2.69E-05,0.000104532,0.00E+00,0.00E+00,0.00E+00,7.31E-01,2.84E+00
820,3.84E-05,0,0,0,2.69E-05,0.000180553,0.00E+00,0.00E+00,0.00E+00,7.01E-01,4.70E+00
830,3.94E-05,0,0,0,0,0.000199558,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.06E+00
840,4.04E-05,0,0,2.72E-05,0,0.000180546,0.00E+00,0.00E+00,6.74E-01,0.00E+00,4.47E+00
850,4.25E-05,0,0,2.72E-05,0,0.000104526,0.00E+00,0.00E+00,6.41E-01,0.00E+00,2.46E+00
860,4.47E-05,0,0,2.72E-05,0,2.85E-05,0.00E+00,0.00E+00,6.09E-01,0.00E+00,6.38E-01
870,4.61E-05,0,0,0,0,9.50E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.06E-01
880,4.85E-05,0,0,0,0,9.50E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.96E-01
890,5.09E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
900,5.24E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
910,5.45E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
920,5.63E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
930,5.77E-05,0,0,2.72E-05,0,0,0.00E+00,0.00E+00,4.72E-01,0.00E+00,0.00E+00
940,5.89E-05,0,0,2.72E-05,0,0,0.00E+00,0.00E+00,4.62E-01,0.00E+00,0.00E+00
950,6.07E-05,0,0,2.72E-05,0,0,0.00E+00,0.00E+00,4.49E-01,0.00E+00,0.00E+00
960,6.17E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
970,6.19E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
980,6.31E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
990,6.43E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1000,6.48E-05,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
