fileName,modelAtmosphere,pathType,surfaceAlbedo,surfaceTemperature,albedoFilename,targetLabel,backgroundLabel,visibility,groundAltitude,sensorAltitude,targetAltitude,sensorZenith,sensorAzimuth,dZenith,dAzimuth,dayNumber,extraterrestrialSource,latitude,longitude,timeUTC,startingWavelength,endingWavelength,wavelengthIncrement,fwhm,key
tape5,2,2,,303.15,spec_alb.dat,green felt,"constant, 18%",0.0,0.168,0.28231,100.0,0.0,0.0,2.5,5,312,0,43.041,77.698,15.0,0.3,1.2,0.001,0.001,0
Target Norm Blue,Target Norm Green,Target Norm Red,Target Norm RE,Target Norm IR,radianceType,Downwelling Norm Blue,Downwelling Norm Green,Downwelling Norm Red,Downwelling Norm RE,Downwelling Norm IR,radianceType
0.00109421756734,0.0010423389106,0.000501105216304,0.00043621860611,0.00181081157716,Target,0.0,0.0,0.0,0.0,0.0,Downwelling
wavelengths,tgtSolScat,groundReflect,directReflect,estDownwell,totalRadiance,sumSolScat,Norm Blue,Norm Green,Norm Red,Norm RE,Norm IR
0.3,2.6705e-08,7.0971e-08,2.7107e-09,6.82603e-08,9.7676e-08,0.0,0.0,0.0,0.0,0.0,0.0
0.301,8.3327e-08,2.2097e-07,9.6954e-09,2.112746e-07,3.043e-07,0.0,0.0,0.0,0.0,0.0,0.0
0.302,1.4214e-07,3.7732e-07,1.7933e-08,3.59387e-07,5.1946e-07,0.0,0.0,0.0,0.0,0.0,0.0
0.303,4.7914e-07,1.2727e-06,6.5308e-08,1.207392e-06,1.7518e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.304,7.0503e-07,1.8801e-06,1.0081e-07,1.77929e-06,2.5852e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.305,1.6291e-06,4.3566e-06,2.4481e-07,4.11179e-06,5.9857e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.306,1.9218e-06,5.1663e-06,3.0005e-07,4.86625e-06,7.0882e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.307,3.4536e-06,9.3283e-06,5.5907e-07,8.76923e-06,1.2782e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.308,4.9259e-06,1.3369e-05,8.2106e-07,1.254794e-05,1.8295e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.309,6.0401e-06,1.6498e-05,1.0388e-06,1.54592e-05,2.2539e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.31,7.8126e-06,2.1456e-05,1.3805e-06,2.00755e-05,2.9268e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.311,1.5553e-05,4.3027e-05,2.8379e-06,4.01891e-05,5.8579e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.312,1.4823e-05,4.1261e-05,2.7749e-06,3.84861e-05,5.6084e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.313,2.1808e-05,6.1098e-05,4.1866e-06,5.69114e-05,8.2906e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.314,2.3115e-05,6.5252e-05,4.5787e-06,6.06733e-05,8.8367e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.315,3.0072e-05,8.5475e-05,6.1009e-06,7.93741e-05,0.00011555,0.0,0.0,0.0,0.0,0.0,0.0
0.316,2.3693e-05,6.7844e-05,4.9551e-06,6.28889e-05,9.1537e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.317,3.8269e-05,0.00011035,8.2004e-06,0.0001021496,0.00014862,0.0,0.0,0.0,0.0,0.0,0.0
0.318,3.607e-05,0.00010474,7.9566e-06,9.67834e-05,0.00014081,0.0,0.0,0.0,0.0,0.0,0.0
0.319,4.5576e-05,0.00013321,1.0234e-05,0.000122976,0.00017879,0.0,0.0,0.0,0.0,0.0,0.0
0.32,4.6598e-05,0.00013739,1.0887e-05,0.000126503,0.00018399,0.0,0.0,0.0,0.0,0.0,0.0
0.321,5.6905e-05,0.00016875,1.3483e-05,0.000155267,0.00022566,0.0,0.0,0.0,0.0,0.0,0.0
0.322,5.6044e-05,0.00016758,1.376e-05,0.00015382,0.00022362,0.0,0.0,0.0,0.0,0.0,0.0
0.323,4.8404e-05,0.00014588,1.2237e-05,0.000133643,0.00019428,0.0,0.0,0.0,0.0,0.0,0.0
0.324,6.1976e-05,0.000188,1.5955e-05,0.000172045,0.00024997,0.0,0.0,0.0,0.0,0.0,0.0
0.325,6.6252e-05,0.00020254,1.77e-05,0.00018484,0.00026879,0.0,0.0,0.0,0.0,0.0,0.0
0.326,8.8992e-05,0.00027405,2.4337e-05,0.000249713,0.00036305,0.0,0.0,0.0,0.0,0.0,0.0
0.327,9.4693e-05,0.0002936,2.6515e-05,0.000267085,0.00038829,0.0,0.0,0.0,0.0,0.0,0.0
0.328,8.1956e-05,0.00025612,2.3792e-05,0.000232328,0.00033808,0.0,0.0,0.0,0.0,0.0,0.0
0.329,0.00010142,0.00031921,3.004e-05,0.00028917,0.00042063,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.00010916,0.00034589,3.3178e-05,0.000312712,0.00045506,0.0,0.0,0.0,0.0,0.0,0.0
0.331,8.9377e-05,0.00028541,2.8107e-05,0.000257303,0.00037478,0.0,0.0,0.0,0.0,0.0,0.0
0.332,9.719e-05,0.00031247,3.1219e-05,0.000281251,0.00040966,0.0,0.0,0.0,0.0,0.0,0.0
